Directory,RF,XGB,SVC,LogReg,KNN,NN
50SPC,65.2,66.4,60.099999999999994,61.0,63.6,62.7
PCA_LAF,80.7,80.80000000000001,75.5,75.9,82.39999999999999,79.80000000000001
GMHI,74.7,,,,,
Baseline,71.5,71.89999999999999,70.1,69.8,72.3,68.30000000000001
