Directory,RF,XGB,SVC,LogReg,KNN,NN
50SPC,55.400000000000006,57.199999999999996,45.9,47.4,55.800000000000004,51.2
PCA_LAF,77.0,77.10000000000001,70.5,71.3,79.2,76.3
GMHI,64.3,,,,,
Baseline,65.5,65.4,62.1,61.6,66.3,58.8
