Directory,RF,XGB,SVC,LogReg,KNN,NN
50SPC,56.00000000000001,57.3,51.7,52.300000000000004,55.7,53.300000000000004
PCA_LAF,75.4,75.7,69.19999999999999,70.1,78.10000000000001,75.6
GMHI,73.7,,,,,
Baseline,64.9,64.5,61.4,61.0,65.5,59.0
