Directory,RF,XGB,LogReg,KNN,NN
50SPC,0.592,0.609,0.583,0.55,0.582
PCA_LAF,0.606,0.634,0.579,0.643,0.597
GMHI,0.643,,,,
Baseline,0.677,0.682,0.656,0.651,0.654
