Directory,RF,XGB,LogReg,KNN,NN
50SPC,0.656,0.666,0.613,0.605,0.626
PCA_LAF,0.679,0.695,0.639,0.679,0.682
GMHI,0.747,,,,
Baseline,0.714,0.718,0.692,0.689,0.722
