Directory,RF,XGB,LogReg,KNN,NN
50SPC,0.573,0.587,0.577,0.525,0.559
PCA_LAF,0.608,0.604,0.591,0.624,0.596
GMHI,0.643,,,,
Baseline,0.678,0.679,0.659,0.628,0.656
